Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,EURINR,1001,FUTCUR,XX,-1,EURINR,EURINR16MAY25F,EURINR 16th MAY FUT,2025-05-16,1,0.0025
CDS,cde_fo,EURINR,1002,OPTCUR,CE,97,EURINR,EURINR25APR25C97,EURINR 25th APR 97 CE,2025-04-25,1,0.0025
CDS,cde_fo,JPYINR,1003,OPTCUR,CE,63,JPYINR,JPYINR13JUN25C63,JPYINR 13th JUN 63 CE,2025-06-13,1,0.0025
CDS,cde_fo,GBPINR,1004,OPTCUR,CE,101.5,GBPINR,GBPINR17APR25C101.5,GBPINR 17th APR 101.5 CE,2025-04-17,1,0.0025
CDS,cde_fo,EURINR,1005,FUTCUR,XX,-1,EURINR,EURINR29OCT25F,EURINR OCT FUT,2025-10-29,1,0.0025
CDS,cde_fo,GBPINR,1006,FUTCUR,XX,-1,GBPINR,GBPINR16MAY25F,GBPINR 16th MAY FUT,2025-05-16,1,0.0025
CDS,cde_fo,EURINR,1007,FUTCUR,XX,-1,EURINR,EURINR25FEB26F,EURINR FEB26 FUT,2026-02-25,1,0.0025
CDS,cde_fo,11NSETEST,1009,FUTCUR,XX,-1,11NSETEST,11NSETEST29DEC36F,11NSETEST DEC36 FUT,2036-12-29,1,0.0025
CDS,cde_fo,EURINR,1010,OPTCUR,CE,84.25,EURINR,EURINR25APR25C84.25,EURINR 25th APR 84.25 CE,2025-04-25,1,0.0025
CDS,cde_fo,EURINR,1011,FUTCUR,XX,-1,EURINR,EURINR28APR25F,EURINR APR FUT,2025-04-28,1,0.0025
CDS,cde_fo,EURUSD,1013,FUTCUR,XX,-1,EURUSD,EURUSD25FEB26F,EURUSD FEB26 FUT,2026-02-25,1,0.0001
CDS,cde_fo,GBPINR,1014,OPTCUR,CE,106.5,GBPINR,GBPINR30MAY25C106.5,GBPINR 30th MAY 106.5 CE,2025-05-30,1,0.0025
CDS,cde_fo,EURINR,1015,OPTCUR,PE,84.25,EURINR,EURINR25APR25P84.25,EURINR 25th APR 84.25 PE,2025-04-25,1,0.0025
CDS,cde_fo,EURINR,1016,OPTCUR,PE,97,EURINR,EURINR25APR25P97,EURINR 25th APR 97 PE,2025-04-25,1,0.0025
