Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,freeze_qty,Board Lot Qty
MCX,mcx_fo,SILVER,433352,OPTFUT,CE,91250,SILVER,SILVER24APR25C91250,SILVER 24th APR 91250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433353,OPTFUT,PE,91250,SILVER,SILVER24APR25P91250,SILVER 24th APR 91250 PE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVERM,433354,OPTFUT,CE,91750,SILVERM,SILVERM21APR25C91750,SILVERM 21st APR 91750 CE,2025-04-21,1,0.5,120.0,5
MCX,mcx_fo,SILVERM,433355,OPTFUT,PE,91750,SILVERM,SILVERM21APR25P91750,SILVERM 21st APR 91750 PE,2025-04-21,1,0.5,120.0,5
MCX,mcx_fo,SILVER,433466,OPTFUT,CE,91000,SILVER,SILVER24APR25C91000,SILVER 24th APR 91000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433467,OPTFUT,CE,90750,SILVER,SILVER24APR25C90750,SILVER 24th APR 90750 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433468,OPTFUT,CE,90500,SILVER,SILVER24APR25C90500,SILVER 24th APR 90500 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433469,OPTFUT,CE,90250,SILVER,SILVER24APR25C90250,SILVER 24th APR 90250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433470,OPTFUT,CE,90000,SILVER,SILVER24APR25C90000,SILVER 24th APR 90000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433471,OPTFUT,CE,89750,SILVER,SILVER24APR25C89750,SILVER 24th APR 89750 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433472,OPTFUT,CE,89500,SILVER,SILVER24APR25C89500,SILVER 24th APR 89500 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433473,OPTFUT,CE,89250,SILVER,SILVER24APR25C89250,SILVER 24th APR 89250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433474,OPTFUT,CE,89000,SILVER,SILVER24APR25C89000,SILVER 24th APR 89000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433475,OPTFUT,CE,88750,SILVER,SILVER24APR25C88750,SILVER 24th APR 88750 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433476,OPTFUT,CE,88500,SILVER,SILVER24APR25C88500,SILVER 24th APR 88500 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433477,OPTFUT,CE,88250,SILVER,SILVER24APR25C88250,SILVER 24th APR 88250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433478,OPTFUT,CE,88000,SILVER,SILVER24APR25C88000,SILVER 24th APR 88000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433479,OPTFUT,CE,87750,SILVER,SILVER24APR25C87750,SILVER 24th APR 87750 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433480,OPTFUT,CE,87500,SILVER,SILVER24APR25C87500,SILVER 24th APR 87500 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433481,OPTFUT,CE,87250,SILVER,SILVER24APR25C87250,SILVER 24th APR 87250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433482,OPTFUT,CE,87000,SILVER,SILVER24APR25C87000,SILVER 24th APR 87000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433483,OPTFUT,CE,86750,SILVER,SILVER24APR25C86750,SILVER 24th APR 86750 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433484,OPTFUT,CE,86500,SILVER,SILVER24APR25C86500,SILVER 24th APR 86500 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433485,OPTFUT,CE,86250,SILVER,SILVER24APR25C86250,SILVER 24th APR 86250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433486,OPTFUT,CE,86000,SILVER,SILVER24APR25C86000,SILVER 24th APR 86000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433487,OPTFUT,CE,85750,SILVER,SILVER24APR25C85750,SILVER 24th APR 85750 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433488,OPTFUT,CE,85500,SILVER,SILVER24APR25C85500,SILVER 24th APR 85500 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433489,OPTFUT,CE,85250,SILVER,SILVER24APR25C85250,SILVER 24th APR 85250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433490,OPTFUT,CE,85000,SILVER,SILVER24APR25C85000,SILVER 24th APR 85000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433491,OPTFUT,CE,91500,SILVER,SILVER24APR25C91500,SILVER 24th APR 91500 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433492,OPTFUT,CE,91750,SILVER,SILVER24APR25C91750,SILVER 24th APR 91750 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433493,OPTFUT,CE,92000,SILVER,SILVER24APR25C92000,SILVER 24th APR 92000 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433494,OPTFUT,CE,92250,SILVER,SILVER24APR25C92250,SILVER 24th APR 92250 CE,2025-04-24,1,0.5,20.0,30
MCX,mcx_fo,SILVER,433495,OPTFUT,CE,92500,SILVER,SILVER24APR25C92500,SILVER 24th APR 92500 CE,2025-04-24,1,0.5,20.0,30
