Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,35219,OPTIDX,CE,30000,NIFTY,NIFTY JUN 30000 CE,NIFTY26JUN25C30000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,35221,OPTIDX,CE,30000,NIFTY,NIFTY 24th DEC 30000 CE,NIFTY24DEC25C30000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,35222,OPTIDX,PE,30000,NIFTY,NIFTY 24th DEC 30000 PE,NIFTY24DEC25P30000,2025-12-24,75,0.05
NFO,nse_fo,BSE,35238,OPTSTK,CE,6100,BSE LIMITED,BSE MAY 6100 CE,BSE29MAY25C6100,2025-05-29,125,0.05
NFO,nse_fo,BSE,35239,OPTSTK,PE,6100,BSE LIMITED,BSE MAY 6100 PE,BSE29MAY25P6100,2025-05-29,125,0.05
NFO,nse_fo,LT,35615,OPTSTK,CE,2760,LARSEN & TOUBRO LTD.,LT JUN 2760 CE,LT26JUN25C2760,2025-06-26,150,0.05
NFO,nse_fo,LT,35616,OPTSTK,PE,2760,LARSEN & TOUBRO LTD.,LT JUN 2760 PE,LT26JUN25P2760,2025-06-26,150,0.05
NFO,nse_fo,DLF,35841,OPTSTK,PE,500,DLF LIMITED,DLF APR 500 PE,DLF24APR25P500,2025-04-24,825,0.05
NFO,nse_fo,SIEMENS,35861,OPTSTK,CE,3400,SIEMENS LTD,SIEMENS JUN 3400 CE,SIEMENS26JUN25C3400,2025-06-26,75,0.05
NFO,nse_fo,SIEMENS,35862,OPTSTK,PE,3400,SIEMENS LTD,SIEMENS JUN 3400 PE,SIEMENS26JUN25P3400,2025-06-26,75,0.05
NFO,nse_fo,HINDALCO,35914,OPTSTK,CE,780,HINDALCO  INDUSTRIES  LTD,HINDALCO APR 780 CE,HINDALCO24APR25C780,2025-04-24,1400,0.05
NFO,nse_fo,HINDALCO,35915,OPTSTK,PE,780,HINDALCO  INDUSTRIES  LTD,HINDALCO APR 780 PE,HINDALCO24APR25P780,2025-04-24,1400,0.05
NFO,nse_fo,BANKINDIA,35916,OPTSTK,CE,129,BANK OF INDIA,BANKINDIA APR 129 CE,BANKINDIA24APR25C129,2025-04-24,4825,0.05
NFO,nse_fo,BANKINDIA,35917,OPTSTK,PE,129,BANK OF INDIA,BANKINDIA APR 129 PE,BANKINDIA24APR25P129,2025-04-24,4825,0.05
NFO,nse_fo,INDIGO,36037,OPTSTK,CE,5500,INTERGLOBE AVIATION LTD,INDIGO APR 5500 CE,INDIGO24APR25C5500,2025-04-24,150,0.05
NFO,nse_fo,INDIGO,36038,OPTSTK,PE,5500,INTERGLOBE AVIATION LTD,INDIGO APR 5500 PE,INDIGO24APR25P5500,2025-04-24,150,0.05
NFO,nse_fo,CHAMBLFERT,36139,OPTSTK,CE,690,CHAMBAL FERTILIZERS LTD,CHAMBLFERT APR 690 CE,CHAMBLFERT24APR25C690,2025-04-24,1900,0.05
NFO,nse_fo,CHAMBLFERT,36146,OPTSTK,PE,690,CHAMBAL FERTILIZERS LTD,CHAMBLFERT APR 690 PE,CHAMBLFERT24APR25P690,2025-04-24,1900,0.05
NFO,nse_fo,KPITTECH,36234,OPTSTK,CE,920,KPIT TECHNOLOGIES LIMITED,KPITTECH APR 920 CE,KPITTECH24APR25C920,2025-04-24,400,0.05
NFO,nse_fo,KPITTECH,36235,OPTSTK,PE,920,KPIT TECHNOLOGIES LIMITED,KPITTECH APR 920 PE,KPITTECH24APR25P920,2025-04-24,400,0.05
NFO,nse_fo,COFORGE,36341,OPTSTK,CE,5900,COFORGE LIMITED,COFORGE APR 5900 CE,COFORGE24APR25C5900,2025-04-24,75,0.05
NFO,nse_fo,COFORGE,36342,OPTSTK,PE,5900,COFORGE LIMITED,COFORGE APR 5900 PE,COFORGE24APR25P5900,2025-04-24,75,0.05
