Exch,Exchange Segment,Group Name,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Trading Symbol,Lot Size,Tick Size
NSE,nse_cm,EQ,011NSETEST,14747,0,011NSETEST,011NSETEST-EQ,011NSETEST-EQ,1,0.05
NSE,nse_cm,ST,GRETEX,18742,0,GRETEX INDUSTRIES LTD.,GRETEX-ST,GRETEX-ST,750,0.05
NSE,nse_cm,EQ,GREENPOWER,20110,0,ORIENT GREEN POWER CO LTD,GREENPOWER-EQ,GREENPOWER-EQ,1,0.01
NSE,nse_cm,EQ,GREENPLY,3987,0,GREENPLY INDUSTRIES LTD,GREENPLY-EQ,GREENPLY-EQ,1,0.05
NSE,nse_cm,EQ,GREENPANEL,13810,0,GREENPANEL INDUSTRIES LTD,GREENPANEL-EQ,GREENPANEL-EQ,1,0.01
NSE,nse_cm,EQ,GREENLAM,6848,0,GREENLAM INDUSTRIES LTD.,GREENLAM-EQ,GREENLAM-EQ,1,0.01
NSE,nse_cm,SM,GREENCHEF,17092,0,GREENCHEF APPLIANCES LTD,GREENCHEF-SM,GREENCHEF-SM,800,0.05
NSE,nse_cm,EQ,GREAVESCOT,1235,0,GREAVES COTTON LTD.,GREAVESCOT-EQ,GREAVESCOT-EQ,1,0.01
NSE,nse_cm,SM,GRCL,14052,0,GAYATRI RUBB AND CHEM LTD,GRCL-SM,GRCL-SM,250,0.05
NSE,nse_cm,EQ,GRINDWELL,13560,0,GRINDWELL NORTON LIMITED,GRINDWELL-EQ,GRINDWELL-EQ,1,0.05
NSE,nse_cm,EQ,GRASIM,1232,0,GRASIM INDUSTRIES LTD,GRASIM-EQ,GRASIM-EQ,1,0.05
NSE,nse_cm,EQ,GRAPHITE,592,0,GRAPHITE INDIA LTD,GRAPHITE-EQ,GRAPHITE-EQ,1,0.05
NSE,nse_cm,SM,GRAPHISAD,20454,0,GRAPHISADS LIMITED,GRAPHISAD-SM,GRAPHISAD-SM,1200,0.05
NSE,nse_cm,EQ,GRANULES,11872,0,GRANULES INDIA LIMITED,GRANULES-EQ,GRANULES-EQ,1,0.05
NSE,nse_cm,EQ,GPTINFRA,17685,0,GPT INFRAPROJECTS LTD,GPTINFRA-EQ,GPTINFRA-EQ,1,0.01
NSE,nse_cm,EQ,GPTHEALTH,22846,0,GPT HEALTHCARE LIMITED,GPTHEALTH-EQ,GPTHEALTH-EQ,1,0.01
NSE,nse_cm,EQ,GRAVITA,20534,0,GRAVITA INDIA LIMITED,GRAVITA-EQ,GRAVITA-EQ,1,0.05
NSE,nse_cm,EQ,GRINFRA,5054,0,G R INFRAPROJECTS LIMITED,GRINFRA-EQ,GRINFRA-EQ,1,0.05
NSE,nse_cm,EQ,GUFICBIO,11606,0,GUFIC BIOSCIENCES LTD.,GUFICBIO-EQ,GUFICBIO-EQ,1,0.05
NSE,nse_cm,EQ,GTPL,21195,0,GTPL HATHWAY LIMITED,GTPL-EQ,GTPL-EQ,1,0.01
NSE,nse_cm,EQ,GTLINFRA,13745,0,GTL INFRA.LTD,GTLINFRA-EQ,GTLINFRA-EQ,1,0.01
NSE,nse_cm,EQ,GTL,1162,0,GTL LTD,GTL-EQ,GTL-EQ,1,0.01
NSE,nse_cm,EQ,GTECJAINX,1129,0,G-TEC JAINX EDUCATION LTD,GTECJAINX-EQ,GTECJAINX-EQ,1,0.01
NSE,nse_cm,ST,GSTL,9768,0,GLOBESECURE TECHNO LTD,GSTL-ST,GSTL-ST,1000,0.05
NSE,nse_cm,EQ,GSS,15347,0,GSS INFOTECH LIMITED,GSS-EQ,GSS-EQ,1,0.01
NSE,nse_cm,EQ,GSPL,13197,0,GUJARAT STATE PETRO LTD,GSPL-EQ,GSPL-EQ,1,0.05
NSE,nse_cm,ST,GSMFOILS,23891,0,GSM FOILS LIMITED,GSMFOILS-ST,GSMFOILS-ST,2000,0.05
NSE,nse_cm,EQ,GSLSU,14599,0,GLOBAL SURFACES LIMITED,GSLSU-EQ,GSLSU-EQ,1,0.01
NSE,nse_cm,EQ,GSFC,1247,0,GUJ STATE FERT & CHEM LTD,GSFC-EQ,GSFC-EQ,1,0.01
NSE,nse_cm,EQ,GRWRHITECH,7982,0,GARWARE HI-TECH FILMS LTD,GRWRHITECH-EQ,GRWRHITECH-EQ,1,0.05
NSE,nse_cm,EQ,GRSE,5475,0,GARDEN REACH SHIP&ENG LTD,GRSE-EQ,GRSE-EQ,1,0.05
NSE,nse_cm,EQ,GRPLTD,6543,0,GRP LIMITED,GRPLTD-EQ,GRPLTD-EQ,1,0.05
NSE,nse_cm,EQ,GROBTEA,17770,0,THE GROB TEA COMPANY LTD,GROBTEA-EQ,GROBTEA-EQ,1,0.05
NSE,nse_cm,EQ,GRMOVER,10871,0,GRM OVERSEAS LIMITED,GRMOVER-EQ,GRMOVER-EQ,1,0.05
NSE,nse_cm,EQ,GPPL,19731,0,GUJARAT PIPAVAV PORT LTD,GPPL-EQ,GPPL-EQ,1,0.01
NSE,nse_cm,EQ,GUJALKALI,1267,0,GUJARAT ALKALIES & CHEM,GUJALKALI-EQ,GUJALKALI-EQ,1,0.05
NSE,nse_cm,ST,GPECO,24113,0,GP ECO SOLUTIONS INDIA L,GPECO-ST,GPECO-ST,600,0.05
NSE,nse_cm,BE,GODAVARIB,25943,0,GODAVARI BIOREFINERIES L,GODAVARIB-BE,GODAVARIB-BE,1,0.01
NSE,nse_cm,EQ,GOCOLORS,6964,0,GO FASHION INDIA LTD,GOCOLORS-EQ,GOCOLORS-EQ,1,0.05
NSE,nse_cm,EQ,GOCLCORP,3963,0,GOCL CORPORATION LIMITED,GOCLCORP-EQ,GOCLCORP-EQ,1,0.05
NSE,nse_cm,EQ,GOACARBON,14687,0,GOA CARBON LIMITED,GOACARBON-EQ,GOACARBON-EQ,1,0.05
NSE,nse_cm,EQ,GNFC,1174,0,GUJ NAR VAL FER & CHEM L,GNFC-EQ,GNFC-EQ,1,0.05
NSE,nse_cm,EQ,GNA,18571,0,GNA AXLES LIMITED,GNA-EQ,GNA-EQ,1,0.05
NSE,nse_cm,EQ,GMRP&UI,8529,0,GMR POW AND URBAN INFRA L,GMRP&UI-EQ,GMRP&UI-EQ,1,0.01
NSE,nse_cm,EQ,GMRAIRPORT,13528,0,GMR AIRPORTS LIMITED,GMRAIRPORT-EQ,GMRAIRPORT-EQ,1,0.01
NSE,nse_cm,EQ,GODFRYPHLP,1181,0,GODFREY PHILLIPS INDIA LT,GODFRYPHLP-EQ,GODFRYPHLP-EQ,1,0.05
NSE,nse_cm,EQ,GMMPFAUDLR,1570,0,GMM PFAUDLER LIMITED,GMMPFAUDLR-EQ,GMMPFAUDLR-EQ,1,0.05
NSE,nse_cm,EQ,GMDCLTD,5204,0,GUJARAT MINERAL DEV CORP,GMDCLTD-EQ,GMDCLTD-EQ,1,0.05
NSE,nse_cm,EQ,GMBREW,1168,0,G M BREWERIES LTD,GMBREW-EQ,GMBREW-EQ,1,0.05
NSE,nse_cm,EQ,GLOSTERLTD,23590,0,GLOSTER LIMITED,GLOSTERLTD-EQ,GLOSTERLTD-EQ,1,0.05
NSE,nse_cm,EQ,GLOBUSSPR,17424,0,GLOBUS SPIRITS LTD,GLOBUSSPR-EQ,GLOBUSSPR-EQ,1,0.05
